N-HSEA	&
S-SEA	sứa
S-SUANK	sức
S-SUANT	sứt
S-HUAG	sừng
S-HSUA	sử
S-HSEA	sửa
S-HSUAG	sửng
S-HSUAJG	sửu
SN-SEA	sữa
SN-SUAG	sững
SN-UA	sự
SN-UANK	sực
SN-UAG	sựng
T-A	ta
T-AJ	tai
T-AT	tam
T-AN	tan
T-AG	tang
T-AK	tanh
T-AJK	tao
T-AJG	tau
T-AJN	tay
T-E	te
T-ET	tem
T-EN	ten
T-EG	teng
T-EJK	teo
TH-A	tha
TH-AJ	thai
TH-AT	tham
TH-AN	than
TH-AG	thang
TH-AK	thanh
TH-AJK	thao
TH-AJG	thau
TH-AJN	thay
TH-E	the
TH-EN	then
TH-EJK	theo
TH*-I	thi
TH-IE	thia
TH*-IN	thin
TH*-IK	thinh
TH*-IJG	thiu
TH-IET	thiêm
TH-IEN	thiên
TH-IEG	thiêng
TH-IEJG	thiêu
TH-SIENK	thiếc
TH-SIETK	thiếp
TH-SIENT	thiết
TH-SIEJG	thiếu
TH-HIEN	thiền
TH-HIEG	thiềng
TH-HIEJG	thiều
TH-HSIET	thiểm
TH-HSIEN	thiển
TH-HSIEJG	thiểu
THN-IEN	thiện
THN-IETK	thiệp
THN-IENT	thiệt
THN-IEJG	thiệu
TH-O	tho
TH-U	thoa
TH-UJ	thoai
TH-UN	thoan
TH-UG	thoang
TH-OJ	thoi
TH-OT	thom
TH-ON	thon
TH-OG	thong
TH-HU	thoà
TH-SU	thoá
TH-SUJ	thoái
TH-SUN	thoán
TH-SUG	thoáng
TH-SUNT	thoát
THN-SU	thoã
TH*-UN	thoăn
THN-UJ	thoại
THN-UNT	thoạt
TH-HSU	thoả
TH-HSUJ	thoải
TH-HSUG	thoảng
TH-S*UG	thoắng
TH-S*UNT	thoắt
TH-IU	thu
TH-UO	thua
TH-IUJ	thui
TH-IUT	thum
TH-IUN	thun
TH-IUG	thung
TH-EYN	thuyên
TH-SEYNT	thuyết
TH-HEYN	thuyền
TH-UE	thuê
TH-UON	thuôn
TH-SUY	thuý
TH-S*YN	thuấn
TH-H*YN	thuần
THN-S*YN	thuẫn
THN*-YN	thuận
THN*-YNT	thuật
TH-SUE	thuế
TH-SUONK	thuốc
TH-SUON	thuốn
TH-HUON	thuồn
TH-HUOG	thuồng
TH-HSUOG	thuổng
THN-SUON	thuỗn
THN-UONK	thuộc
THN-UOT	thuộm
TH-HSY	thuở
TH-HUY	thuỳ
THN-UY	thuỵ
TH-HSUY	thuỷ
TH-HA	thà
TH-HAJ	thài
TH-HAK	thành
TH-HAJK	thào
TH-HAJN	thày
TH-SA	thá
TH-SANK	thác
TH-SAGK	thách
TH-SAJ	thái
TH-SAT	thám
TH-SAN	thán
TH-SAG	tháng
TH-SAK	thánh
TH-SAJK	tháo
TH-SATK	tháp
TH-SANT	thát
TH-SAJG	tháu
TH*-ET	thâm
TH*-EN	thân
TH*-EJG	thâu
TH*-EJN	thây
THN-SAJ	thãi
TH-HE	thè
TH-HET	thèm
TH-HEN	thèn
TH-HEJK	thèo
TH-SE	thé
TH-SETK	thép
TH-SENT	thét
TH-OE	thê
TH-OET	thêm
TH-OEK	thênh
TH-OEJG	thêu
TH-H*I	thì
TH-HIE	thìa
TH-H*IN	thìn
TH-H*IK	thình
TH-H*IJG	thìu
TH-S*I	thí
TH-SIE	thía
TH-S*IGK	thích
TH-S*IT	thím
TH-S*IN	thín
TH-S*IK	thính
TH-S*INT	thít
TH-HO	thò
TH-HOJ	thòi
TH-HOT	thòm
TH-HOG	thòng
TH-SO	thó
TH-SONK	thóc
TH-SOJ	thói
TH-SOT	thóm
TH-SOTK	thóp
TH-SONT	thót
TH-OA	thô
TH-OAJ	thôi
TH-OAN	thôn
TH-OAG	thông
THN-SOT	thõm
THN-SOG	thõng
TH-HIU	thù
TH-HUO	thùa
TH-HIUJ	thùi
TH-HIUT	thùm
TH-HIUG	thùng
TH-SIU	thú
TH-SIUNK	thúc
TH-SIUJ	thúi
TH-SIUG	thúng
TH-SIUNT	thút
TH*-AT	thăm
TH*-AN	thăn
TH*-AG	thăng
THN-S*I	thĩ
THN-SIUG	thũng
TH-OY	thơ
TH-OYJ	thơi
TH-OYT	thơm
TH-OYN	thơn
TH-UA	thư
TH-EA	thưa
TH-UAG	thưng
TH-EAG	thương
TH-SEANK	thước
TH-SEANT	thướt
TH-HEAN	thườn
TH-HEAG	thường
TH-HSEAG	thưởng
THN-SEAJ	thưỡi
THN-SEAN	thưỡn
THN-EANK	thược
THN-EAG	thượng
THN-EANT	thượt
THN-A	thạ
THN-ANK	thạc
THN-AGK	thạch
THN-AK	thạnh
THN-AJK	thạo
THN-ATK	thạp
TH-HSA	thả
TH-HSAJ	thải
TH-HSAT	thảm
TH-HSAN	thản
TH-HSAG	thảng
TH-HSAK	thảnh
TH-HSAJK	thảo
TH-HSAJN	thảy
TH-S*ET	thấm
TH-S*ETK	thấp
TH-S*ENT	thất
TH-S*EJG	thấu
TH-S*EJN	thấy
TH-H*ET	thầm
TH-H*EN	thần
TH-H*EJG	thầu
TH-H*EJN	thầy
TH-HS*ET	thẩm
TH-HS*EN	thẩn
TH-HS*EJG	thẩu
THN-S*ET	thẫm
THN-S*EN	thẫn
THN*-ET	thậm
THN*-EN	thận
THN*-ETK	thập
THN*-ENT	thật
TH-S*ANK	thắc
TH-S*AT	thắm
TH-S*AN	thắn
TH-S*AG	thắng
TH-S*ATK	thắp
TH-S*ANT	thắt
TH-H*AN	thằn
TH-H*AG	thằng
TH-HS*AT	thẳm
TH-HS*AG	thẳng
THN*-AG	thặng
THN-EN	thẹn
THN-EJK	thẹo
TH-HSE	thẻ
TH-HSEJK	thẻo
THN-SE	thẽ
TH-SOE	thế
TH-SOEGK	thếch
TH-SOETK	thếp
TH-SOENT	thết
TH-HOE	thề
TH-HOET	thềm
TH-HOEJG	thều
TH-HSOE	thể
TH-HSOEJG	thểu
THN-OE	thệ
THN-OEN	thện
TH-HS*I	thỉ
TH-HS*IK	thỉnh
TH-HS*IJG	thỉu
THN*-I	thị
THN*-IGK	thịch
THN*-IK	thịnh
THN*-INT	thịt
THN-O	thọ
THN-ONK	thọc
THN-ONT	thọt
TH-HSO	thỏ
TH-HSOJ	thỏi
TH-HSOT	thỏm
TH-SOA	thố
TH-SOANK	thốc
TH-SOAJ	thối
TH-SOAN	thốn
TH-SOAG	thống
TH-SOANT	thốt
TH-HOA	thồ
TH-HOAT	thồm
TH-HOAN	thồn
TH-HSOA	thổ
TH-HSOAJ	thổi
TH-HSOAN	thổn
THN-SOAN	thỗn
THN-OANK	thộc
THN-OAN	thộn
THN-OATK	thộp
THN-OANT	thột
TH-SOY	thớ
TH-SOYJ	thới
TH-SOYT	thớm
TH-SOYNT	thớt
TH-HOY	thờ
TH-HOYJ	thời
TH-HSOY	thở
THN-OY	thợ
THN-IU	thụ
THN-IUNK	thục
THN-IUJ	thụi
THN-IUG	thụng
THN-IUTK	thụp
THN-IUNT	thụt
TH-HSIU	thủ
TH-HSUO	thủa
TH-HSIUJ	thủi
TH-HSIUT	thủm
TH-HSIUG	thủng
TH-SUA	thứ
TH-SUANK	thức
TH-HUA	thừ
TH-HEA	thừa
TH-HUAG	thừng
TH-HSUA	thử
TH-HSEA	thửa
THN-SUAG	thững
THN-UA	thự
THN-UANK	thực
T*-I	ti
T-IE	tia
T*-IT	tim
T*-IN	tin
T*-IK	tinh
T*-IJG	tiu
T-IET	tiêm
T-IEN	tiên
T-IEG	tiêng
T-IEJG	tiêu
T-SIENK	tiếc
T-SIET	tiếm
T-SIEN	tiến
T-SIEG	tiếng
T-SIETK	tiếp
T-SIENT	tiết
T-SIEJG	tiếu
T-HIET	tiềm
T-HIEN	tiền
T-HIEJG	tiều
T-HSIEJG	tiểu
TN-SIEN	tiễn
TN-SIEJG	tiễu
TN-IENK	tiệc
TN-IET	tiệm
TN-IEN	tiện
TN-IETK	tiệp
TN-IENT	tiệt
T-O	to
T-U	toa
T-UN	toan
T-UG	toang
T-UK	toanh
T-AY	toe
T-AYN	toen
T-OJ	toi
T-OT	tom
T-ON	ton
T-OG	tong
T*-OG	toong
T-HU	toà
T-HUJ	toài
T-HUN	toàn
T-HUG	toàng
T-SU	toá
T-SUNK	toác
T-SUJ	toái
T-SUN	toán
T-SUG	toáng
T-SUNT	toát
T-SUJN	toáy
T-HAY	toè
T-HAYN	toèn
T-SAY	toé
T-SAYNT	toét
TN-U	toạ
TN-UNK	toạc
TN-UJ	toại
TN-UG	toạng
T-HSU	toả
T-HSUN	toản
TN-AYNT	toẹt
T-HSAY	toẻ
TN-SAY	toẽ
TR-A	tra
TR-AJ	trai
TR-AG	trang
TR-AK	tranh
TR-AJK	trao
TR-AJG	trau
TR-E	tre
TR-EJK	treo
TR*-I	tri
TR*-IK	trinh
TR-IEG	triêng
TR-SIENT	triết
TR-HIEN	triền
TR-HIEG	triềng
TR-HIEJG	triều
TR-HSIEN	triển
TRN-IEN	triện
TRN-IENT	triệt
TRN-IEJG	triệu
TR-O	tro
TR-OT	trom
TR-OG	trong
TR-IU	tru
TR-IUJ	trui
TR-IUG	trung
TR-UY	truy
TR-HEYN	truyền
TRN-EYN	truyện
TR*-YN	truân
TR-UOG	truông
TR-S*YNT	truất
TR-SUENT	truết
TR-HUOG	truồng
TRN-UY	truỵ
TR-HA	trà
TR-HAT	tràm
TR-HAN	tràn
TR-HAG	tràng
TR-HAK	trành
TR-HAJK	trào
TR-HAJG	tràu
TR-SA	trá
TR-SANK	trác
TR-SAGK	trách
TR-SAJ	trái
TR-SAT	trám
TR-SAN	trán
TR-SAG	tráng
TR-SAK	tránh
TR-SAJK	tráo
TR-SATK	tráp
TR-SANT	trát
TR*-ET	trâm
TR*-EN	trân
TR*-EG	trâng
TR*-EJG	trâu
TR*-EJN	trây
TRN-SA	trã
TRN-SAJ	trãi
TR-HET	trèm
TR-HEJK	trèo
TR-SEJK	tréo
TR-SENT	trét
TR-OE	trê
TR-OEN	trên
TR-OEJG	trêu
TR-H*I	trì
TR-H*IK	trình
TR-H*IJG	trìu
TR-S*I	trí
TR-S*IGK	trích
TR-S*INT	trít
TR-S*IJG	tríu
TR-HO	trò
TR-HOJ	tròi
TR-HOT	tròm
TR-HON	tròn
TR-HOG	tròng
TR-SONK	tróc
TR-SOJ	trói
TR-SOT	tróm
TR-SOG	tróng
TR-SONT	trót
TR-OA	trô
TR-OAJ	trôi
TR-OAT	trôm
TR-OAN	trôn
TR-OAG	trông
TRN-SOT	trõm
TR-HIU	trù
TR-HIUJ	trùi
TR-HIUT	trùm
TR-HIUN	trùn
TR-HIUG	trùng
TR-SIU	trú
TR-SIUNK	trúc
TR-SIUT	trúm
TR-SIUG	trúng
TR-SIUNT	trút
TR*-AT	trăm
TR*-AN	trăn
TR*-AG	trăng
TRN-S*I	trĩ
TRN-S*IK	trĩnh
TRN-S*IJG	trĩu
TRN-SIUJ	trũi
TRN-SIUG	trũng
TR-OY	trơ
TR-OYJ	trơi
TR-OYN	trơn
TR-EA	trưa
TR-UAG	trưng
TR-EAG	trương
TR-SEANK	trước
TR-SEAG	trướng
TR-HEAN	trườn
TR-HEAG	trường
TR-HSEAG	trưởng
TRN-SEAG	trưỡng
TRN-EAG	trượng
TRN-EANT	trượt
TRN-A	trạ
TRN-ANK	trạc
TRN-AGK	trạch
TRN-AJ	trại
TRN-AT	trạm
TRN-AG	trạng
TRN-AK	trạnh
TRN-AJK	trạo
TRN-ANT	trạt
TR-HSA	trả
TR-HSAJ	trải
TR-HSAT	trảm
TR-HSAG	trảng
TR-HSAJK	trảo
TR-HSAJG	trảu
TR-HSAJN	trảy
TR-S*EN	trấn
TR-S*ETK	trấp
TR-S*EJG	trấu
TR-H*ET	trầm
TR-H*EN	trần
TR-H*EJG	trầu
TR-H*EJN	trầy
TR-HS*ET	trẩm
TR-HS*EJG	trẩu
TR-HS*EJN	trẩy
TRN-S*ET	trẫm
TRN*-ET	trậm
TRN*-EN	trận
TRN*-ETK	trập
TRN*-ENT	trật
TR-S*ANK	trắc
TR-S*AT	trắm
TR-S*AG	trắng
TR-S*ANT	trắt
TR-H*AT	trằm
TR-H*AN	trằn
TRN*-ANK	trặc
TRN*-AN	trặn
TRN-E	trẹ
TRN-EJK	trẹo
TRN-ENT	trẹt
TR-HSE	trẻ
TR-HSEJK	trẻo
TRN-SE	trẽ
TRN-SEN	trẽn
TR-SOEK	trếnh
TR-SOENT	trết
TR-SOEJG	trếu
TR-HOE	trề
TR-HSOEN	trển
TRN-SOE	trễ
TRN-OE	trệ
TRN-OEGK	trệch
TRN-OENT	trệt
TRN-OEJG	trệu
TR-HSIE	trỉa
TRN*-I	trị
TRN-IE	trịa
TRN*-IGK	trịch
TRN*-IK	trịnh
TRN*-INT	trịt
TRN-O	trọ
TRN-ONK	trọc
TRN-OJ	trọi
TRN-OT	trọm
TRN-ON	trọn
TRN-OG	trọng
TRN-ONT	trọt
TR-HSO	trỏ
TR-HSOG	trỏng
TR-SOA	trố
TR-SOANK	trốc
TR-SOAJ	trối
TR-SOAN	trốn
TR-SOAG	trống
TR-SOANT	trốt
TR-HOA	trồ
TR-HOAJ	trồi
TR-HOAG	trồng
TR-HSOA	trổ
TR-HSOAJ	trổi
TR-HSOAG	trổng
TRN-SOA	trỗ
TRN-SOAJ	trỗi
TRN-OA	trộ
TRN-OAJ	trội
TRN-OAT	trộm
TRN-OAN	trộn
TRN-OAG	trộng
TR-SOY	trớ
TR-SOYN	trớn
TR-SOYNT	trớt
TR-HOY	trờ
TR-HOYJ	trời
TR-HSOY	trở
TRN-OY	trợ
TRN-OYN	trợn
TRN-OYNT	trợt
TRN-IU	trụ
TRN-UO	trụa
TRN-IUNK	trục
TRN-IUJ	trụi
TRN-IUT	trụm
TRN-IUG	trụng
TRN-IUNT	trụt
TR-HSIU	trủ
TR-SUA	trứ
TR-SUAG	trứng
TR-HUA	trừ
TR-HUAG	trừng
TR-HUAJG	trừu
TR-HSUAG	trửng
TRN-SUA	trữ
TRN-UA	trự
TRN-UANK	trực
T-IU	tu
T-UO	tua
T-IUJ	tui
T-IUT	tum
T-IUN	tun
T-IUG	tung
T-UY	tuy
T-EY	tuya
T-UYN	tuyn
T-EYN	tuyên
T-SEYN	tuyến
T-SEYNT	tuyết
T-HEYN	tuyền
T-HSEYN	tuyển
TN-EYNT	tuyệt
T*-YN	tuân
T-UON	tuôn
T-UOG	tuông
T-SUY	tuý
T-SUYTK	tuýp
T-SUYNT	tuýt
T-S*YN	tuấn
T-S*YNT	tuất
T-H*YN	tuần
TN-S*YN	tuẫn
T-SUE	tuế
T-SUEGK	tuếch
T-HUEN	tuền
T-HUEK	tuềnh
TN-UE	tuệ
T-SUONK	tuốc
T-SUON	tuốn
T-SUONT	tuốt
T-HUOJ	tuồi
T-HUON	tuồn
T-HUOG	tuồng
T-HSUOJ	tuổi
TN-UONK	tuộc
TN-UONT	tuột
T-HUY	tuỳ
TN-UY	tuỵ
T-HSUY	tuỷ
T-I	ty
T-HA	tà
T-HAJ	tài
T-HAT	tàm
T-HAN	tàn
T-HAG	tàng
T-HAK	tành
T-HAJK	tào
T-HAJG	tàu
T-HAJN	tày
T-SA	tá
T-SANK	tác
T-SAGK	tách
T-SAJ	tái
T-SAT	tám
T-SAN	tán
T-SAG	táng
T-SAK	tánh
T-SAJK	táo
T-SATK	táp
T-SANT	tát
T-SAJG	táu
T-SAJN	táy
T*-ET	tâm
T*-EN	tân
T*-EG	tâng
T*-EJG	tâu
T*-EJN	tây
TN-SA	tã
TN-SAJ	tãi
T-HE	tè
T-HET	tèm
T-HEJK	tèo
T-SE	té
T-SET	tém
T-SEJK	téo
T-SETK	tép
T-SENT	tét
T-OE	tê
T-OET	têm
T-OEN	tên
T-OEK	tênh
T-OEJG	têu
T-H*I	tì
T-H*IT	tìm
T-H*IK	tình
T-S*I	tí
T-SIE	tía
T-S*IGK	tích
T-S*IT	tím
T-S*IN	tín
T-S*IK	tính
T-S*ITK	típ
T-S*INT	tít
T-S*IJG	tíu
T-HO	tò
T-HOJ	tòi
T-HOT	tòm
T-HON	tòn
T-HOG	tòng
T-SO	tó
T-SONK	tóc
T-SOJ	tói
T-SOT	tóm
T-SOTK	tóp
T-SONT	tót
T-OA	tô
T-OAJ	tôi
T-OAT	tôm
T-OAN	tôn
T-OAG	tông
TN-SOT	tõm
T-HIU	tù
T-HIUT	tùm
T-HIUG	tùng
T-SIU	tú
T-SUO	túa
T-SIUNK	túc
T-SIUJ	túi
T-SIUT	túm
T-SIUG	túng
T-SIUTK	túp
T-SIUNT	tút
T-SI	tý
T*-AT	tăm
T*-AN	tăn
T*-AG	tăng
TN-S*I	tĩ
TN-S*IN	tĩn
TN-S*IK	tĩnh
TN-S*IJG	tĩu
TN-SIUT	tũm
TN-SIUN	tũn
T-OY	tơ
T-OYJ	tơi
T-UA	tư
T-EA	tưa
T-UAG	tưng
T-EAJ	tươi
T-EAT	tươm
T-EAG	tương
T-SEANK	tước
T-SEAJ	tưới
T-SEAG	tướng
T-SEATK	tướp
T-SEANT	tướt
T-HEAG	tường
T-HEAJG	tườu
T-HSEAJ	tưởi
T-HSEAG	tưởng
TN-EANK	tược
TN-EAG	tượng
TN-EANT	tượt
TN-A	tạ
TN-ANK	tạc
TN-AGK	tạch
TN-AJ	tại
TN-AT	tạm
TN-AN	tạn
TN-AG	tạng
TN-AK	tạnh
TN-AJK	tạo
TN-ATK	tạp
TN-ANT	tạt
T-HSA	tả
T-HSAJ	tải
T-HSAN	tản
T-HSAG	tảng
T-HSAJK	tảo
T-S*ENK	tấc
T-S*ET	tấm
T-S*EN	tấn
T-S*ETK	tấp
T-S*ENT	tất
T-S*EJG	tấu
T-S*EJN	tấy
T-H*ET	tầm
T-H*EN	tần
T-H*EG	tầng
T-H*EJG	tầu
T-H*EJN	tầy
T-HS*ET	tẩm
T-HS*EN	tẩn
T-HS*EJG	tẩu
T-HS*EJN	tẩy
TN*-ET	tậm
TN*-EN	tận
TN*-ETK	tập
TN*-ENT	tật
TN*-EJG	tậu
T-S*ANK	tắc
T-S*AT	tắm
T-S*AN	tắn
T-S*ATK	tắp
T-S*ANT	tắt
T-H*AT	tằm
T-H*AN	tằn
T-H*AG	tằng
T-HS*AN	tẳn
TN*-ANK	tặc
TN*-AN	tặn
TN*-AG	tặng
TN-EJK	tẹo
TN-ETK	tẹp
TN-ENT	tẹt
T-HSE	tẻ
T-HSEJK	tẻo
TN-SE	tẽ
TN-SEN	tẽn
T-SOE	tế
T-SOEGK	tếch
T-SOENT	tết
T-SOEJG	tếu
T-HOE	tề
T-HSOE	tể
T-HSOEK	tểnh
TN-SOE	tễ
TN-SOEK	tễnh
TN-OE	tệ
TN-OETK	tệp
T-HS*I	tỉ
T-HSIE	tỉa
T-HS*IT	tỉm
T-HS*IK	tỉnh
TN*-I	tị
TN*-IGK	tịch
TN*-IK	tịnh
TN*-INT	tịt
TN*-IJG	tịu
TN-ONK	tọc
TN-OG	tọng
TN-OTK	tọp
TN-ONT	tọt
T-HSO	tỏ
T-HSOJ	tỏi
T-HSOG	tỏng
T-SOA	tố
T-SOANK	tốc
T-SOAJ	tối
T-SOAN	tốn
T-SOAG	tống
T-SOATK	tốp
T-SOANT	tốt
T-HOA	tồ
T-HOAJ	tồi
T-HOAN	tồn
T-HOAG	tồng
T-HSOA	tổ
T-HSOAN	tổn
T-HSOAG	tổng
TN-OA	tộ
TN-OANK	tộc
TN-OAJ	tội
TN-OANT	tột
T-SOY	tớ
T-SOYJ	tới
T-SOYN	tớn
T-SOYTK	tớp
T-HOY	tờ
T-HOYJ	tời
T-HSOY	tở
T-HSOYT	tởm
T-HSOYN	tởn
TN-SOYN	tỡn
TN-OY	tợ
TN-OYN	tợn
TN-OYTK	tợp
TN-IU	tụ
TN-IUNK	tục
TN-IUJ	tụi
TN-IUT	tụm
TN-IUG	tụng
TN-IUNT	tụt
T-HSIU	tủ
T-HSUO	tủa
T-HSIUJ	tủi
T-HSIUT	tủm
T-HSIUN	tủn
T-SUA	tứ
T-SEA	tứa
T-SUANK	tức
T-HUA	từ
T-HUAG	từng
T-HSUA	tử
T-HSUAJG	tửu
TN-UA	tự
TN-EA	tựa
TN-UAJG	tựu
T-HI	tỳ
T-HSI	tỷ
-IU	u
-IUJ	ui
-IUT	um
-IUN	un
-IUG	ung
-UY	uy
-EYN	uyên
-HSEYN	uyển
-UOT	uôm
-SUY	uý
-S*YNT	uất
-HS*YN	uẩn
-SUE	uế
-HSUE	uể
-SUON	uốn
-SUOG	uống
-SUONT	uốt
-HSUOG	uổng
N-UONT	uột
-HUYK	uỳnh
N-UYGK	uỵch
-HSUY	uỷ
TKH-A	va
TKH-AJ	vai
TKH-AT	vam
TKH-AN	van
TKH-AG	vang
TKH-AK	vanh
TKH-AJK	vao
TKH-AJN	vay
TKH-E	ve
TKH-EN	ven
TKH-EJK	veo
TKH*-I	vi
TKH*-IN	vin
TKH*-IK	vinh
TKH-IET	viêm
TKH-IEN	viên
TKH-SIEG	viếng
TKH-SIENT	viết
TKH-HIEN	viền
TKH-HSIEN	viển
TKHN-SIEN	viễn
TKHN-IENK	việc
TKHN-IEN	viện
TKHN-IENT	việt
TKH-O	vo
TKH-UN	voan
TKH-OJ	voi
TKH-ON	von
TKH-OG	vong
TKH-IU	vu
TKH-UO	vua
TKH-IUJ	vui
TKH-IUN	vun
TKH-IUG	vung
TKH-UOG	vuông
TKH-SUONT	vuốt
TKHN-UONT	vuột
TKH-HA	và
TKH-HAJ	vài
TKH-HAT	vàm
TKH-HAN	vàn
TKH-HAG	vàng
TKH-HAK	vành
TKH-HAJK	vào
TKH-HAJN	vày
TKH-SA	vá
TKH-SANK	vác
TKH-SAGK	vách
TKH-SAJ	vái
TKH-SAN	ván
TKH-SAG	váng
TKH-SAK	vánh
TKH-SAJK	váo
TKH-SATK	váp
TKH-SANT	vát
TKH-SAJN	váy
TKH*-ET	vâm
TKH*-EN	vân
TKH*-EG	vâng
TKH*-EJN	vây
TKHN-SA	vã
TKHN-SAJ	vãi
TKHN-SAN	vãn
TKHN-SAG	vãng
TKHN-SAK	vãnh
TKH-HE	vè
TKH-HEJK	vèo
TKH-SE	vé
TKH-SENK	véc
TKH-SEN	vén
TKH-SEJK	véo
TKH-SENT	vét
TKH-OE	vê
TKH-OEN	vên
TKH-OEK	vênh
TKH-OEJG	vêu
TKH-H*I	vì
TKH-S*I	ví
TKH-SIE	vía
TKH-S*IGK	vích
TKH-S*INT	vít
TKH-S*IJG	víu
TKH-HO	vò
TKH-HOJ	vòi
TKH-HOT	vòm
TKH-HON	vòn
TKH-HOG	vòng
TKH-SO	vó
TKH-SONK	vóc
TKH-SOJ	vói
TKH-SOT	vóm
TKH-SON	vón
TKH-SOG	vóng
TKH-SONT	vót
TKH-OA	vô
TKH-OAJ	vôi
TKH-OAN	vôn
TKH-OAG	vông
TKHN-SO	võ
TKHN-SOG	võng
TKH-HIU	vù
TKH-HUO	vùa
TKH-HIUJ	vùi
TKH-HIUN	vùn
TKH-HIUG	vùng
TKH-SIU	vú
TKH-SIUNK	vúc
TKH-SIUNT	vút
TKH*-AN	văn
TKH*-AG	văng
TKHN-S*I	vĩ
TKHN-S*IK	vĩnh
TKHN-SIU	vũ
TKHN-SIUT	vũm
TKHN-SIUG	vũng
TKH-OY	vơ
TKH-OYJ	vơi
TKH-EAN	vươn
TKH-EAG	vương
TKH-SEAG	vướng
TKH-HEAN	vườn
TKH-HSEAG	vưởng
TKHN-EANK	vược
TKHN-EAN	vượn
TKHN-EAG	vượng
TKHN-EANT	vượt
TKHN-A	vạ
TKHN-ANK	vạc
TKHN-AGK	vạch
TKHN-AJ	vại
TKHN-AT	vạm
TKHN-AN	vạn
TKHN-AG	vạng
TKHN-AK	vạnh
TKHN-ATK	vạp
TKHN-ANT	vạt
TKHN-AJN	vạy
TKH-HSA	vả
TKH-HSAJ	vải
TKH-HSAG	vảng
TKH-HSAK	vảnh
TKH-HSAJN	vảy
TKH-S*EN	vấn
TKH-S*ETK	vấp
TKH-S*ENT	vất
TKH-S*EJG	vấu
TKH-S*EJN	vấy
TKH-H*EN	vần
TKH-H*EG	vầng
TKH-H*EJG	vầu
TKH-H*EJN	vầy
TKH-HS*EN	vẩn
TKH-HS*EJG	vẩu
TKH-HS*EJN	vẩy
TKHN-S*EN	vẫn
TKHN-S*EJN	vẫy
TKHN*-ET	vậm
TKHN*-EN	vận
TKHN*-ETK	vập
TKHN*-ENT	vật
TKHN*-EJN	vậy
TKH-S*ANK	vắc
TKH-S*AN	vắn
TKH-S*AG	vắng
TKH-S*ANT	vắt
TKH-H*AT	vằm
TKH-H*AN	vằn
TKH-H*AG	vằng
TKH-HS*AG	vẳng
TKHN*-ANK	vặc
TKHN*-AN	vặn
TKHN*-ANT	vặt
TKHN-ENK	vẹc
TKHN-ET	vẹm
TKHN-EN	vẹn
TKHN-EJK	vẹo
TKHN-ENT	vẹt
TKH-HSE	vẻ
TKH-HSEN	vẻn
TKH-HSEJK	vẻo
TKHN-SE	vẽ
TKHN-SEN	vẽn
TKH-SOE	vế
TKH-SOEGK	vếch
TKH-SOENT	vết
TKH-SOEJG	vếu
TKH-HOE	về
TKH-HOEN	vền
TKH-HOEJG	vều
TKH-HSOEK	vểnh
TKHN-OE	vệ
TKHN-OEN	vện
TKHN-OENT	vệt
TKH-HS*I	vỉ
TKH-HSIE	vỉa
TKHN*-I	vị
TKHN*-IT	vịm
TKHN*-IN	vịn
TKHN*-IK	vịnh
TKHN*-INT	vịt
TKHN-O	vọ
TKHN-ONK	vọc
TKHN-OJ	vọi
TKHN-OT	vọm
TKHN-OG	vọng
TKHN-OTK	vọp
TKHN-ONT	vọt
TKH-HSO	vỏ
TKH-HSON	vỏn
TKH-HSOG	vỏng
TKH-SOA	vố
TKH-SOANK	vốc
TKH-SOAJ	vối
TKH-SOAN	vốn
TKH-SOAG	vống
TKH-HOA	vồ
TKH-HOAN	vồn
TKH-HOAG	vồng
TKH-HSOA	vổ
TKH-HSOAG	vổng
TKHN-SOA	vỗ
TKHN-OAJ	vội
TKH-SOY	vớ
TKH-SOYJ	với
TKH-SOYNT	vớt
TKH-HOY	vờ
TKH-HOYJ	vời
TKH-HOYN	vờn
TKH-HSOY	vở
TKH-HSOYN	vởn
TKHN-SOY	vỡ
TKHN-OY	vợ
TKHN-OYJ	vợi
TKHN-OYNT	vợt
TKHN-IU	vụ
TKHN-IUNK	vục
TKHN-IUN	vụn
TKHN-IUG	vụng
TKHN-IUNT	vụt
TKH-SUANK	vức
TKH-SUANT	vứt
TKH-HEA	vừa
TKH-HUAG	vừng
TKH-HSUAG	vửng
TKHN-SEA	vữa
TKHN-SUAG	vững
TKHN-EA	vựa
TKHN-UANK	vực
TKHN-UAG	vựng
ST-A	xa
ST-AT	xam
ST-AN	xan
ST-AG	xang
ST-AK	xanh
ST-AJK	xao
ST-AJN	xay
ST-E	xe
ST-ET	xem
ST-EN	xen
ST-EJK	xeo
ST*-I	xi
ST*-IT	xim
ST*-IN	xin
ST*-IK	xinh
ST-IET	xiêm
ST-IEN	xiên
ST-IEJG	xiêu
ST-SIENK	xiếc
ST-SIENT	xiết
ST-HIEG	xiềng
ST-HSIET	xiểm
ST-HSIEG	xiểng
ST-O	xo
ST-U	xoa
ST-UJ	xoai
ST-UN	xoan
ST-UG	xoang
ST-UJN	xoay
ST-AY	xoe
ST-AYN	xoen
ST-OJ	xoi
ST-OT	xom
ST-ON	xon
ST-OG	xong
ST*-OG	xoong
ST-HU	xoà
ST-HUJ	xoài
ST-HUT	xoàm
ST-HUN	xoàn
ST-HUG	xoàng
ST-HUK	xoành
ST-SU	xoá
ST-SUNK	xoác
ST-SUNT	xoát
ST-SUJN	xoáy
