N-HSEA	&
SKRN-AJK	dạo
SKRN-ANT	dạt
SKRN-AJN	dạy
SKR-HSA	dả
SKR-HSAJ	dải
SKR-HSAK	dảnh
SKR-HSAJN	dảy
SKR-S*ET	dấm
SKR-S*EN	dấn
SKR-S*ETK	dấp
SKR-S*EJG	dấu
SKR-S*EJN	dấy
SKR-H*ET	dầm
SKR-H*EN	dần
SKR-H*EJG	dầu
SKR-H*EJN	dầy
SKR-HS*ET	dẩm
SKR-HS*EN	dẩn
SKR-HS*EJG	dẩu
SKR-HS*EJN	dẩy
SKRN-S*ET	dẫm
SKRN-S*EN	dẫn
SKRN-S*EJG	dẫu
SKRN-S*EJN	dẫy
SKRN*-ET	dậm
SKRN*-EN	dận
SKRN*-ETK	dập
SKRN*-ENT	dật
SKRN*-EJG	dậu
SKRN*-EJN	dậy
SKR-S*AG	dắng
SKR-S*ANT	dắt
SKR-H*AT	dằm
SKR-H*AN	dằn
SKR-H*AG	dằng
SKR-HS*AN	dẳn
SKR-HS*AG	dẳng
SKRN*-ANK	dặc
SKRN*-AT	dặm
SKRN*-AN	dặn
SKRN*-AG	dặng
SKRN*-ANT	dặt
SKRN-ETK	dẹp
SKRN-ENT	dẹt
SKR-HSE	dẻ
SKR-HSEJK	dẻo
SKRN-SE	dẽ
SKR-SOE	dế
SKR-SOENT	dết
SKR-HOE	dề
SKR-HOET	dềm
SKR-HOEN	dền
SKR-HOEK	dềnh
SKR-HSOE	dể
SKR-HSOEK	dểnh
SKRN-SOE	dễ
SKRN-OE	dệ
SKRN-OEGK	dệch
SKRN-OEN	dện
SKRN-OENT	dệt
SKRN*-I	dị
SKRN*-IGK	dịch
SKRN*-ITK	dịp
SKRN*-INT	dịt
SKRN*-IJG	dịu
SKRN-O	dọ
SKRN-ONK	dọc
SKRN-OJ	dọi
SKRN-OT	dọm
SKRN-ON	dọn
SKRN-OG	dọng
SKRN-OTK	dọp
SKR-HSO	dỏ
SKR-HSOT	dỏm
SKR-HSOG	dỏng
SKR-SOANK	dốc
SKR-SOAJ	dối
SKR-SOANT	dốt
